iter	Passed	Remaining
431	2010	2643
432	2017	2641
433	2019	2633
434	2022	2626
435	2024	2619
436	2029	2614
437	2032	2607
438	2034	2600
439	2037	2592
440	2039	2585
441	2046	2583
442	2049	2576
443	2051	2569
444	2053	2561
445	2055	2553
446	2058	2546
447	2062	2541
448	2064	2534
449	2067	2526
450	2069	2518
451	2071	2511
452	2076	2507
453	2079	2500
454	2081	2493
455	2083	2485
456	2085	2478
457	2088	2471
458	2092	2466
459	2094	2459
460	2097	2451
461	2099	2444
462	2101	2437
463	2103	2430
464	2109	2426
465	2111	2419
466	2113	2412
467	2115	2405
468	2117	2397
469	2122	2393
470	2124	2386
471	2126	2379
472	2128	2371
473	2131	2364
474	2133	2357
475	2138	2353
476	2141	2347
477	2143	2341
478	2145	2333
479	2147	2326
480	2150	2320
481	2155	2316
482	2157	2309
483	2159	2302
484	2161	2295
485	2163	2288
486	2165	2281
487	2172	2279
488	2174	2272
489	2176	2265
490	2179	2258
491	2181	2252
492	2185	2247
493	2188	2241
494	2190	2234
495	2192	2227
496	2194	2220
497	2196	2214
498	2201	2210
499	2204	2204
500	2206	2197
501	2208	2191
502	2210	2184
503	2218	2183
504	2221	2177
505	2223	2170
506	2225	2164
507	2227	2157
508	2234	2155
509	2236	2149
510	2239	2142
511	2241	2136
512	2243	2129
513	2248	2125
514	2250	2119
515	2252	2112
516	2254	2106
517	2256	2099
518	2258	2093
519	2263	2089
520	2266	2083
521	2268	2077
522	2270	2071
523	2273	2064
524	2275	2058
525	2279	2054
526	2282	2048
527	2284	2041
528	2286	2035
529	2288	2029
530	2290	2022
531	2295	2019
532	2298	2013
533	2300	2007
534	2302	2001
535	2305	1995
536	2309	1991
537	2312	1985
538	2314	1979
539	2316	1973
540	2318	1966
541	2320	1960
542	2325	1956
543	2327	1951
544	2330	1945
545	2332	1939
546	2334	1933
547	2336	1927
548	2341	1923
549	2343	1917
550	2346	1911
551	2348	1905
552	2350	1899
553	2352	1893
554	2357	1890
555	2360	1884
556	2362	1878
557	2364	1872
558	2366	1866
559	2368	1861
560	2372	1856
561	2375	1851
562	2377	1845
563	2379	1839
564	2381	1833
565	2383	1827
566	2389	1824
567	2391	1819
568	2393	1813
569	2396	1807
570	2398	1801
571	2402	1797
572	2405	1792
573	2407	1786
574	2409	1781
575	2411	1775
576	2414	1769
577	2419	1766
578	2423	1762
579	2426	1756
580	2428	1751
581	2431	1746
582	2436	1742
583	2438	1737
584	2441	1731
585	2443	1726
586	2446	1721
587	2451	1717
588	2453	1711
589	2455	1706
590	2458	1701
591	2463	1697
592	2465	1692
593	2468	1687
594	2470	1681
595	2473	1676
596	2475	1670
597	2481	1668
598	2483	1662
599	2485	1657
600	2487	1651
601	2489	1646
602	2494	1642
603	2496	1636
604	2499	1631
605	2501	1626
606	2503	1620
607	2505	1615
608	2509	1611
609	2512	1606
610	2514	1600
611	2516	1595
612	2518	1590
613	2520	1584
614	2525	1581
615	2527	1575
616	2529	1570
617	2532	1565
618	2534	1559
619	2536	1554
620	2545	1553
621	2548	1548
622	2550	1543
623	2552	1538
624	2556	1534
625	2559	1528
626	2561	1523
627	2563	1518
628	2565	1513
629	2567	1507
630	2569	1502
631	2574	1499
632	2576	1494
633	2579	1488
634	2581	1483
635	2583	1478
636	2588	1474
637	2590	1469
638	2592	1464
639	2595	1459
640	2597	1454
641	2599	1449
642	2604	1445
643	2606	1441
644	2609	1436
645	2611	1431
646	2613	1426
647	2618	1422
648	2620	1417
649	2623	1412
650	2625	1407
651	2627	1402
652	2629	1397
653	2634	1393
654	2637	1389
655	2639	1384
656	2642	1379
657	2644	1374
658	2646	1369
659	2650	1365
660	2653	1360
661	2655	1355
662	2657	1350
663	2659	1345
664	2662	1341
665	2666	1337
666	2669	1332
667	2671	1327
668	2673	1322
669	2675	1317
670	2680	1314
671	2682	1309
672	2684	1304
673	2686	1299
674	2688	1294
675	2690	1289
676	2695	1286
677	2698	1281
678	2700	1276
679	2703	1272
680	2705	1267
681	2707	1262
682	2712	1258
683	2713	1253
684	2716	1249
685	2718	1244
686	2720	1239
687	2722	1234
688	2728	1231
689	2730	1226
690	2732	1222
691	2734	1217
692	2736	1212
693	2741	1208
694	2743	1203
695	2745	1199
696	2747	1194
697	2749	1189
698	2751	1185
699	2754	1180
700	2759	1176
701	2761	1172
702	2763	1167
703	2765	1162
704	2767	1158
705	2769	1153
706	2773	1149
707	2775	1144
708	2777	1140
709	2780	1135
710	2782	1130
711	2785	1126
712	2789	1122
713	2791	1118
714	2793	1113
715	2795	1108
716	2797	1104
717	2802	1100
718	2805	1096
719	2807	1091
720	2809	1087
721	2811	1082
722	2813	1078
723	2819	1074
724	2822	1070
725	2824	1066
726	2826	1061
727	2829	1057
728	2835	1054
729	2838	1049
730	2840	1045
731	2842	1040
732	2845	1036
733	2852	1033
734	2854	1029
735	2856	1024
736	2858	1020
737	2860	1015
738	2865	1011
739	2867	1007
740	2869	1003
741	2871	998
742	2874	994
743	2876	989
744	2881	986
745	2883	981
746	2885	977
747	2888	972
748	2890	968
749	2892	964
750	2897	960
751	2899	956
752	2901	951
753	2903	947
754	2905	942
755	2907	938
756	2912	934
757	2916	931
758	2919	927
759	2922	922
760	2926	919
761	2928	914
762	2930	910
763	2933	906
764	2935	901
765	2937	897
766	2940	893
767	2944	889
768	2946	885
769	2948	880
770	2950	876
771	2952	872
772	2957	868
773	2959	864
774	2961	859
775	2963	855
776	2966	851
777	2968	847
778	2974	843
779	2976	839
780	2979	835
781	2981	831
782	2983	826
783	2985	822
784	2990	819
785	2993	814
786	2995	810
787	2998	806
788	3001	802
789	3009	799
790	3011	795
791	3013	791
792	3016	787
793	3021	784
794	3024	779
795	3027	775
796	3029	771
797	3032	767
798	3036	763
799	3038	759
800	3041	755
801	3043	751
802	3048	747
803	3051	743
804	3053	739
805	3055	735
806	3058	731
807	3060	727
808	3065	723
809	3067	719
810	3070	715
811	3072	711
812	3074	707
813	3076	703
814	3079	699
815	3082	694
816	3084	690
817	3087	686
818	3089	682
819	3094	679
820	3097	675
821	3099	671
822	3101	667
823	3103	662
824	3106	658
825	3109	655
826	3111	650
827	3113	646
828	3116	642
829	3118	638
830	3120	634
831	3125	631
832	3127	627
833	3130	623
834	3132	618
835	3134	614
836	3139	611
837	3141	607
838	3143	603
839	3146	599
840	3148	595
841	3150	591
842	3155	587
843	3158	583
844	3160	579
845	3162	575
846	3164	571
847	3167	567
848	3171	564
849	3174	560
850	3176	556
851	3178	552
852	3180	548
853	3182	544
854	3188	540
855	3190	536
856	3192	532
857	3194	528
858	3196	524
859	3199	520
860	3202	516
861	3204	513
862	3206	509
863	3208	505
864	3211	501
865	3213	497
866	3219	493
867	3221	489
868	3223	485
869	3226	482
870	3228	478
871	3233	474
872	3235	470
873	3237	466
874	3239	462
875	3241	458
876	3244	455
877	3249	451
878	3252	447
879	3254	443
880	3256	439
881	3258	435
882	3263	432
883	3265	428
884	3267	424
885	3269	420
886	3272	416
887	3274	412
888	3277	409
889	3281	405
890	3283	401
891	3285	397
892	3288	393
893	3290	390
894	3296	386
895	3299	382
896	3301	379
897	3303	375
898	3305	371
899	3311	367
900	3313	364
901	3316	360
902	3318	356
903	3320	352
904	3324	349
905	3327	345
906	3329	341
907	3331	337
908	3333	333
909	3336	329
910	3342	326
911	3344	322
912	3347	318
913	3349	315
914	3351	311
915	3355	307
916	3358	303
917	3359	300
918	3362	296
919	3364	292
920	3366	288
921	3372	285
922	3374	281
923	3376	277
924	3378	273
925	3381	270
926	3383	266
927	3388	262
928	3390	259
929	3393	255
930	3395	251
931	3397	247
932	3399	244
933	3404	240
934	3406	236
935	3409	233
936	3411	229
937	3414	225
938	3420	222
939	3423	218
940	3425	214
941	3428	211
942	3433	207
943	3436	203
944	3439	200
945	3441	196
946	3444	192
947	3449	189
948	3451	185
949	3453	181
950	3456	178
951	3458	174
952	3461	170
953	3467	167
954	3469	163
955	3471	159
956	3473	156
957	3475	152
958	3480	148
959	3482	145
960	3484	141
961	3487	137
962	3489	134
963	3491	130
964	3496	126
965	3499	123
966	3501	119
967	3503	115
968	3504	112
969	3507	108
970	3511	104
971	3513	101
972	3516	97
973	3517	93
974	3520	90
975	3522	86
976	3527	83
977	3530	79
978	3533	75
979	3535	72
980	3537	68
981	3539	64
982	3544	61
983	3546	57
984	3548	54
985	3550	50
986	3553	46
987	3558	43
988	3562	39
989	3564	36
990	3566	32
991	3568	28
992	3570	25
993	3575	21
994	3577	17
995	3579	14
996	3581	10
997	3583	7
998	3586	3
999	3591	0
